GeneId	BiologicalProcess	CellularComponent	MolecularFunction
Ss06g03990.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0004707(MAP kinase activity)
Ss03g00730.1	GO:0055114(oxidation-reduction process),GO:0006979(response to oxidative stress),GO:0042744(hydrogen peroxide catabolic process)	-	GO:0004601(peroxidase activity),GO:0020037(heme binding)
Ss03g00740.1	GO:0006457(protein folding)	GO:0005737(cytoplasm)	-
Ss08g19370.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss07g13890.1	-	-	GO:0003677(DNA binding)
Ss01g00690.1	-	GO:0000786(nucleosome),GO:0005634(nucleus)	GO:0003677(DNA binding),GO:0046982(protein heterodimerization activity)
Ss08g09710.1	GO:0055114(oxidation-reduction process)	-	GO:0033743(peptide-methionine (R)-S-oxide reductase activity)
Ss08g07460.1	GO:0055114(oxidation-reduction process)	GO:0016020(membrane)	GO:0016491(oxidoreductase activity),GO:0004601(peroxidase activity),GO:0050664(oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor),GO:0005509(calcium ion binding)
Ss01g16230.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding)
Ss07g08890.1	GO:0006887(exocytosis)	GO:0000145(exocyst)	-
Ss01g16200.1	-	GO:0016021(integral component of membrane)	-
Ss08g07540.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss08g07550.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss08g09680.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss08g09690.1	-	-	GO:0043531(ADP binding)
Ss09g09150.1	GO:0009767(photosynthetic electron transport chain)	GO:0016020(membrane),GO:0042651(thylakoid membrane)	GO:0009055(electron transfer activity),GO:0016491(oxidoreductase activity),GO:0045156(electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity)
Ss01g33700.1	GO:0009058(biosynthetic process)	-	GO:0003824(catalytic activity)
Ss09g11370.1	-	-	GO:0005515(protein binding)
Ss01g33710.1	GO:0009058(biosynthetic process)	-	GO:0003824(catalytic activity)
Ss01g33680.1	GO:0045454(cell redox homeostasis)	-	GO:0016491(oxidoreductase activity)
Ss11g07520.1	-	GO:0016020(membrane)	GO:0004129(cytochrome-c oxidase activity),GO:0005507(copper ion binding)
Ss07g11220.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding)
Ss01g24180.1	-	-	GO:0005509(calcium ion binding)
Ss09g15840.1	-	-	GO:0005515(protein binding)
Ss03g38670.1	-	-	GO:0008289(lipid binding)
Ss02g19150.1	-	-	GO:0016757(transferase activity, transferring glycosyl groups)
Ss09g03700.1	-	-	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)
Ss02g19140.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss05g03520.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss09g09170.1	GO:0006486(protein glycosylation)	GO:0016020(membrane)	GO:0008417(fucosyltransferase activity)
Ss06g08160.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0015267(channel activity)
Ss10g06270.1	-	GO:0005634(nucleus)	-
Ss04g07080.1	GO:0015693(magnesium ion transport)	GO:0016021(integral component of membrane)	GO:0015095(magnesium ion transmembrane transporter activity)
Ss04g07030.1	GO:0006508(proteolysis)	-	GO:0004190(aspartic-type endopeptidase activity)
Ss04g07050.1	-	-	GO:0003676(nucleic acid binding)
Ss11g06450.1	GO:0055114(oxidation-reduction process)	GO:0016020(membrane)	GO:0005509(calcium ion binding),GO:0016491(oxidoreductase activity),GO:0004601(peroxidase activity),GO:0050664(oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor)
Ss06g08070.1	-	-	GO:0046983(protein dimerization activity)
Ss06g08080.1	-	-	GO:0046872(metal ion binding)
Ss10g06180.1	-	GO:0005576(extracellular region)	-
Ss06g08110.1	GO:0008610(lipid biosynthetic process),GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016491(oxidoreductase activity)
Ss11g06460.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding),GO:0004386(helicase activity)
Ss06g08130.1	-	-	GO:0016757(transferase activity, transferring glycosyl groups)
Ss06g08140.1	-	-	GO:0005515(protein binding)
Ss07g11240.1	GO:0006414(translational elongation),GO:0043043(peptide biosynthetic process)	GO:0005737(cytoplasm)	GO:0003746(translation elongation factor activity)
Ss11g06480.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding),GO:0004386(helicase activity)
Ss07g26460.1	GO:1901642(nucleoside transmembrane transport)	GO:0016021(integral component of membrane)	GO:0005337(nucleoside transmembrane transporter activity)
Ss10g14640.1	GO:0055114(oxidation-reduction process)	-	GO:0004471(malate dehydrogenase (decarboxylating) (NAD+) activity),GO:0051287(NAD binding),GO:0004470(malic enzyme activity)
Ss10g14650.1	-	GO:0016021(integral component of membrane)	-
Ss10g14660.1	-	-	GO:0003677(DNA binding)
Ss10g14670.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
Ss03g39900.1	-	-	GO:0003677(DNA binding)
Ss02g13360.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding)
Ss04g07850.1	-	-	GO:0005515(protein binding)
Ss04g22820.1	-	-	GO:0003676(nucleic acid binding)
Ss03g15770.1	GO:0030418(nicotianamine biosynthetic process)	-	GO:0030410(nicotianamine synthase activity)
Ss04g22840.1	-	-	GO:0016746(transferase activity, transferring acyl groups)
Ss01g18780.1	GO:0015031(protein transport)	-	-
Ss04g22780.1	-	-	GO:0003676(nucleic acid binding)
Ss04g22790.1	-	-	GO:0043531(ADP binding)
Ss03g15780.1	GO:0030418(nicotianamine biosynthetic process)	-	GO:0030410(nicotianamine synthase activity)
Ss07g16420.1	GO:0016567(protein ubiquitination)	-	GO:0005515(protein binding),GO:0004842(ubiquitin-protein transferase activity)
Ss09g16310.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0030247(polysaccharide binding),GO:0005509(calcium ion binding),GO:0004672(protein kinase activity)
Ss07g02260.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss03g15820.1	GO:0030418(nicotianamine biosynthetic process)	-	GO:0030410(nicotianamine synthase activity)
Ss04g07870.1	-	-	GO:0005515(protein binding)
Ss04g22870.1	-	-	GO:0005515(protein binding)
Ss01g18830.1	-	-	GO:0003677(DNA binding),GO:0046983(protein dimerization activity)
Ss04g05430.1	-	-	GO:0005515(protein binding)
Ss03g39270.1	-	-	GO:0005515(protein binding)
Ss03g39280.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss02g19560.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss09g03630.1	GO:0015979(photosynthesis)	GO:0009522(photosystem I),GO:0009579(thylakoid),GO:0016021(integral component of membrane)	-
Ss04g05360.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss04g05380.1	-	-	GO:0043531(ADP binding)
Ss03g39250.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss04g05390.1	GO:0015914(phospholipid transport)	GO:0016021(integral component of membrane)	GO:0000287(magnesium ion binding),GO:0004012(phospholipid-translocating ATPase activity),GO:0005524(ATP binding),GO:0000166(nucleotide binding)
Ss04g05410.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss10g02550.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss10g02560.1	GO:0006508(proteolysis)	-	GO:0004185(serine-type carboxypeptidase activity)
Ss06g03410.1	GO:0097428(protein maturation by iron-sulfur cluster transfer)	-	GO:0005198(structural molecule activity),GO:0051536(iron-sulfur cluster binding)
Ss05g20020.1	-	-	GO:0005515(protein binding)
Ss09g02720.1	GO:0006357(regulation of transcription by RNA polymerase II)	GO:0016592(mediator complex)	GO:0003712(transcription coregulator activity)
Ss05g19980.1	-	-	GO:0016787(hydrolase activity)
Ss10g02470.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss06g03360.1	-	-	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)
Ss06g03330.1	-	-	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)
Ss06g03340.1	-	-	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)
Ss05g20030.1	-	-	GO:0003676(nucleic acid binding)
Ss05g20040.1	GO:0071577(zinc ion transmembrane transport),GO:0030001(metal ion transport),GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane),GO:0016020(membrane)	GO:0005385(zinc ion transmembrane transporter activity),GO:0046873(metal ion transmembrane transporter activity)
Ss06g03370.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss06g03380.1	GO:0006355(regulation of transcription, DNA-templated),GO:0006952(defense response)	-	GO:0003677(DNA binding),GO:0003697(single-stranded DNA binding)
Ss09g15470.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss09g15480.1	GO:0006139(nucleobase-containing compound metabolic process)	-	GO:0003677(DNA binding),GO:0004003(ATP-dependent DNA helicase activity),GO:0005524(ATP binding),GO:0003676(nucleic acid binding),GO:0008026(ATP-dependent helicase activity),GO:0016818(hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides)
Ss06g11770.1	GO:0008299(isoprenoid biosynthetic process),GO:0055114(oxidation-reduction process),GO:0015936(coenzyme A metabolic process)	GO:0016021(integral component of membrane)	GO:0004420(hydroxymethylglutaryl-CoA reductase (NADPH) activity),GO:0050661(NADP binding),GO:0016616(oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor),GO:0050662(coenzyme binding)
Ss09g15460.1	GO:0006468(protein phosphorylation),GO:0048544(recognition of pollen)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0004674(protein serine/threonine kinase activity)
Ss10g16400.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss10g16410.1	GO:0006979(response to oxidative stress),GO:0055114(oxidation-reduction process),GO:0042744(hydrogen peroxide catabolic process)	-	GO:0004601(peroxidase activity),GO:0020037(heme binding)
Ss10g16380.1	-	-	GO:0046983(protein dimerization activity)
Ss01g28570.1	-	-	GO:0005515(protein binding)
Ss06g11830.1	GO:0055114(oxidation-reduction process),GO:0019430(removal of superoxide radicals)	GO:0005737(cytoplasm)	GO:0016491(oxidoreductase activity),GO:0004791(thioredoxin-disulfide reductase activity)
Ss01g28620.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0005509(calcium ion binding),GO:0030247(polysaccharide binding)
Ss09g15490.1	GO:0006298(mismatch repair)	-	GO:0005524(ATP binding),GO:0030983(mismatched DNA binding)
Ss10g16470.1	GO:0006468(protein phosphorylation)	-	GO:0005509(calcium ion binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss03g14410.1	-	-	GO:0003676(nucleic acid binding)
Ss03g14420.1	-	-	GO:0005515(protein binding)
Ss03g14390.1	GO:0009094(L-phenylalanine biosynthetic process)	-	GO:0004664(prephenate dehydratase activity)
Ss02g25550.1	-	-	GO:0004869(cysteine-type endopeptidase inhibitor activity)
Ss03g14370.1	GO:0006979(response to oxidative stress),GO:0055114(oxidation-reduction process)	-	GO:0004601(peroxidase activity),GO:0020037(heme binding)
Ss01g24210.1	-	-	GO:0005515(protein binding)
Ss01g07440.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss03g14430.1	-	GO:0016021(integral component of membrane)	-
Ss03g14440.1	GO:0015914(phospholipid transport)	GO:0005622(intracellular)	GO:0005548(phospholipid transporter activity)
Ss03g03060.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss02g00200.1	-	-	GO:0009055(electron transfer activity)
Ss02g00220.1	-	-	GO:0003676(nucleic acid binding)
Ss02g00240.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss02g00230.1	-	-	GO:0046983(protein dimerization activity)
Ss02g00260.1	GO:0006812(cation transport),GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0015299(solute:proton antiporter activity)
Ss02g00250.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss03g14490.1	GO:0006414(translational elongation)	-	GO:0003924(GTPase activity),GO:0005525(GTP binding),GO:0003746(translation elongation factor activity)
Ss06g06780.1	GO:0009733(response to auxin)	-	-
Ss06g06790.1	-	-	GO:0008270(zinc ion binding)
Ss06g01680.1	-	-	GO:0008270(zinc ion binding)
Ss06g06740.1	GO:0006355(regulation of transcription, DNA-templated),GO:0006412(translation),GO:0006357(regulation of transcription by RNA polymerase II),GO:0032784(regulation of DNA-templated transcription, elongation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss06g06750.1	GO:0016311(dephosphorylation)	-	GO:0004725(protein tyrosine phosphatase activity),GO:0016791(phosphatase activity)
Ss06g01630.1	GO:0006508(proteolysis)	-	GO:0004252(serine-type endopeptidase activity)
Ss06g01640.1	GO:0006508(proteolysis)	-	GO:0004252(serine-type endopeptidase activity)
Ss06g01590.1	GO:0006457(protein folding),GO:0009408(response to heat)	-	GO:0031072(heat shock protein binding),GO:0051082(unfolded protein binding),GO:0005524(ATP binding)
Ss06g06730.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0008289(lipid binding),GO:0003677(DNA binding),GO:0043565(sequence-specific DNA binding)
Ss01g00610.1	GO:0045944(positive regulation of transcription by RNA polymerase II)	-	GO:0003677(DNA binding),GO:0046983(protein dimerization activity),GO:0000977(RNA polymerase II regulatory region sequence-specific DNA binding)
Ss09g13330.1	GO:0008299(isoprenoid biosynthetic process)	-	GO:0004421(hydroxymethylglutaryl-CoA synthase activity),GO:0003824(catalytic activity)
Ss09g13270.1	-	GO:0016020(membrane)	-
Ss09g13280.1	-	GO:0005634(nucleus)	GO:0003676(nucleic acid binding),GO:0005524(ATP binding),GO:0003723(RNA binding),GO:0004386(helicase activity)
Ss09g13290.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004560(alpha-L-fucosidase activity)
Ss02g23550.1	GO:0006508(proteolysis)	-	GO:0004252(serine-type endopeptidase activity)
Ss02g10080.1	GO:0006508(proteolysis)	-	GO:0004185(serine-type carboxypeptidase activity)
Ss04g24150.1	GO:0006351(transcription, DNA-templated)	-	GO:0003676(nucleic acid binding),GO:0008270(zinc ion binding)
Ss04g24160.1	GO:0006351(transcription, DNA-templated),GO:0042779(tRNA 3'-trailer cleavage)	-	GO:0003676(nucleic acid binding),GO:0008270(zinc ion binding)
Ss07g07350.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss04g24180.1	-	-	GO:0016787(hydrolase activity)
Ss04g24190.1	-	-	GO:0016787(hydrolase activity)
Ss04g24200.1	GO:0009086(methionine biosynthetic process)	-	GO:0046522(S-methyl-5-thioribose kinase activity)
Ss04g24210.1	GO:0009086(methionine biosynthetic process)	-	GO:0046522(S-methyl-5-thioribose kinase activity)
Ss11g01950.1	GO:0006007(glucose catabolic process)	GO:0005737(cytoplasm)	GO:0004619(phosphoglycerate mutase activity),GO:0003824(catalytic activity),GO:0046872(metal ion binding),GO:0030145(manganese ion binding)
Ss07g26520.1	GO:0046854(phosphatidylinositol phosphorylation)	-	-
Ss07g17980.1	-	-	GO:0016746(transferase activity, transferring acyl groups)
Ss09g08220.1	GO:0006887(exocytosis)	GO:0000145(exocyst)	-
Ss02g02120.1	-	-	GO:0005515(protein binding)
Ss02g02110.1	GO:0042254(ribosome biogenesis)	GO:0005634(nucleus)	-
Ss02g07310.1	-	-	GO:0003924(GTPase activity),GO:0005525(GTP binding)
Ss02g07300.1	GO:0006096(glycolytic process),GO:0006002(fructose 6-phosphate metabolic process)	-	GO:0005524(ATP binding),GO:0047334(diphosphate-fructose-6-phosphate 1-phosphotransferase activity),GO:0003872(6-phosphofructokinase activity)
Ss02g09480.1	-	-	GO:0005515(protein binding)
Ss03g23560.1	GO:0009772(photosynthetic electron transport in photosystem II),GO:0015979(photosynthesis),GO:0009767(photosynthetic electron transport chain),GO:0019684(photosynthesis, light reaction)	GO:0009523(photosystem II),GO:0016020(membrane),GO:0009521(photosystem)	GO:0016168(chlorophyll binding),GO:0045156(electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity)
Ss02g09460.1	-	-	GO:0005515(protein binding)
Ss02g07240.1	-	-	GO:0005524(ATP binding)
Ss02g09440.1	-	-	GO:0003677(DNA binding)
Ss02g09430.1	GO:0006508(proteolysis)	-	GO:0004252(serine-type endopeptidase activity)
Ss02g09420.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
Ss02g09410.1	-	-	GO:0003677(DNA binding)
Ss02g07270.1	-	-	GO:0016757(transferase activity, transferring glycosyl groups)
Ss02g07260.1	GO:0006086(acetyl-CoA biosynthetic process from pyruvate)	GO:0043231(intracellular membrane-bounded organelle)	GO:0004739(pyruvate dehydrogenase (acetyl-transferring) activity),GO:0016624(oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor)
Ss07g25560.1	GO:0006629(lipid metabolic process)	-	GO:0008374(O-acyltransferase activity)
Ss07g26510.1	-	-	GO:0003677(DNA binding)
Ss02g31680.1	-	-	GO:0005515(protein binding)
Ss06g24570.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss01g23490.1	-	-	GO:0016757(transferase activity, transferring glycosyl groups)
Ss06g24540.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss06g24530.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss06g20150.1	-	-	GO:0008270(zinc ion binding)
Ss06g20140.1	-	-	GO:0005515(protein binding)
Ss06g20130.1	-	-	GO:0008270(zinc ion binding)
Ss06g20120.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss06g24520.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss06g24510.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss05g12290.1	-	-	GO:0016787(hydrolase activity)
Ss05g12280.1	-	-	GO:0016787(hydrolase activity)
Ss08g04460.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss05g14890.1	GO:0030001(metal ion transport)	GO:0016020(membrane)	GO:0046873(metal ion transmembrane transporter activity)
Ss09g00780.1	GO:0019538(protein metabolic process)	-	-
Ss01g09850.1	GO:0015991(ATP hydrolysis coupled proton transport)	GO:0033179(proton-transporting V-type ATPase, V0 domain),GO:0000220(vacuolar proton-transporting V-type ATPase, V0 domain)	GO:0015078(proton transmembrane transporter activity)
Ss01g09870.1	-	-	GO:0005515(protein binding)
Ss05g12220.1	GO:0006032(chitin catabolic process),GO:0016998(cell wall macromolecule catabolic process),GO:0005975(carbohydrate metabolic process)	-	GO:0004568(chitinase activity)
Ss05g12230.1	GO:0006032(chitin catabolic process),GO:0016998(cell wall macromolecule catabolic process),GO:0005975(carbohydrate metabolic process)	-	GO:0008061(chitin binding),GO:0004568(chitinase activity)
Ss05g14870.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss05g12270.1	-	-	GO:0016787(hydrolase activity)
Ss01g13200.1	-	GO:0016020(membrane)	GO:0003824(catalytic activity),GO:0004571(mannosyl-oligosaccharide 1,2-alpha-mannosidase activity),GO:0005509(calcium ion binding)
Ss01g13210.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss01g13260.1	GO:0009086(methionine biosynthetic process)	-	GO:0008270(zinc ion binding),GO:0047150(betaine-homocysteine S-methyltransferase activity)
Ss01g13270.1	GO:0006614(SRP-dependent cotranslational protein targeting to membrane)	GO:0048500(signal recognition particle)	GO:0005525(GTP binding),GO:0008312(7S RNA binding),GO:0003924(GTPase activity)
Ss01g13240.1	GO:0001522(pseudouridine synthesis),GO:0009451(RNA modification)	-	GO:0003723(RNA binding),GO:0009982(pseudouridine synthase activity)
Ss03g36210.1	-	-	GO:0003824(catalytic activity)
Ss03g36200.1	GO:0006468(protein phosphorylation)	-	GO:0005509(calcium ion binding),GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss03g36190.1	GO:0006869(lipid transport)	-	GO:0008289(lipid binding)
Ss01g13290.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss03g36150.1	-	-	GO:0003676(nucleic acid binding)
Ss11g07730.1	GO:0006355(regulation of transcription, DNA-templated)	GO:0016020(membrane)	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding),GO:0008375(acetylglucosaminyltransferase activity)
Ss01g27910.1	-	-	GO:0005515(protein binding)
Ss03g11360.1	-	-	GO:0003676(nucleic acid binding)
Ss04g17440.1	-	-	GO:0003676(nucleic acid binding),GO:0005515(protein binding)
Ss05g08150.1	GO:0006486(protein glycosylation)	-	GO:0016757(transferase activity, transferring glycosyl groups)
Ss01g23450.1	-	GO:0016020(membrane)	GO:0005524(ATP binding),GO:0016887(ATPase activity)
Ss05g08130.1	GO:0006260(DNA replication),GO:0006270(DNA replication initiation)	GO:0042555(MCM complex)	GO:0003677(DNA binding),GO:0005524(ATP binding)
Ss05g08180.1	GO:0006886(intracellular protein transport)	GO:0005622(intracellular)	-
Ss05g08170.1	-	-	GO:0008483(transaminase activity),GO:0030170(pyridoxal phosphate binding),GO:0003824(catalytic activity)
Ss03g11350.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss06g22360.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss06g22370.1	-	-	GO:0008270(zinc ion binding),GO:0005515(protein binding)
Ss06g22400.1	-	-	GO:0005515(protein binding)
Ss06g22390.1	GO:0016226(iron-sulfur cluster assembly)	-	GO:0005506(iron ion binding),GO:0051536(iron-sulfur cluster binding)
Ss06g22420.1	GO:0055114(oxidation-reduction process),GO:0006979(response to oxidative stress),GO:0042744(hydrogen peroxide catabolic process)	-	GO:0004601(peroxidase activity),GO:0020037(heme binding)
Ss06g22440.1	-	-	GO:0005516(calmodulin binding)
Ss08g05050.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding)
Ss08g05040.1	-	-	GO:0046983(protein dimerization activity)
Ss08g05030.1	-	-	GO:0005515(protein binding)
Ss08g05020.1	GO:0000338(protein deneddylation)	GO:0008180(COP9 signalosome)	GO:0005515(protein binding)
Ss08g05090.1	-	-	GO:0008171(O-methyltransferase activity)
Ss08g05060.1	GO:0006821(chloride transport),GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0005247(voltage-gated chloride channel activity)
Ss07g07300.1	-	-	GO:0005515(protein binding)
Ss08g05110.1	-	-	GO:0008171(O-methyltransferase activity)
Ss01g03510.1	GO:0055114(oxidation-reduction process)	-	GO:0051536(iron-sulfur cluster binding)
Ss01g03520.1	GO:0055114(oxidation-reduction process)	-	GO:0008137(NADH dehydrogenase (ubiquinone) activity)
Ss01g03530.1	GO:0015986(ATP synthesis coupled proton transport)	GO:0045261(proton-transporting ATP synthase complex, catalytic core F(1))	GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)
Ss01g03540.1	-	-	GO:0005524(ATP binding)
Ss01g03550.1	GO:0015977(carbon fixation)	-	GO:0016984(ribulose-bisphosphate carboxylase activity)
Ss01g03560.1	-	-	GO:0000287(magnesium ion binding)
Ss01g03570.1	-	-	GO:0003676(nucleic acid binding)
Ss01g37760.1	-	-	GO:0005515(protein binding)
Ss10g01320.1	GO:0006506(GPI anchor biosynthetic process)	GO:0005789(endoplasmic reticulum membrane)	-
Ss02g18260.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss02g22110.1	GO:0006751(glutathione catabolic process)	-	GO:0003839(gamma-glutamylcyclotransferase activity)
Ss09g14030.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0005215(transporter activity),GO:0022857(transmembrane transporter activity)
Ss07g10740.1	-	-	GO:0005515(protein binding)
Ss07g07280.1	GO:0006629(lipid metabolic process)	-	-
Ss03g00210.1	GO:0006886(intracellular protein transport)	GO:0005622(intracellular)	-
Ss10g01330.1	-	-	GO:0005515(protein binding)
Ss10g08210.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss10g08200.1	-	-	GO:0042578(phosphoric ester hydrolase activity)
Ss10g08180.1	GO:0015977(carbon fixation)	-	GO:0016984(ribulose-bisphosphate carboxylase activity),GO:0000287(magnesium ion binding)
Ss11g10830.1	GO:0055114(oxidation-reduction process)	-	GO:0008270(zinc ion binding),GO:0016491(oxidoreductase activity)
Ss11g10820.1	GO:0055114(oxidation-reduction process)	-	GO:0008270(zinc ion binding),GO:0016491(oxidoreductase activity)
Ss11g10810.1	-	-	GO:0005515(protein binding)
Ss11g10800.1	GO:0006508(proteolysis)	-	GO:0004185(serine-type carboxypeptidase activity)
Ss11g10790.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss11g10780.1	-	-	GO:0046983(protein dimerization activity)
Ss11g13510.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
Ss10g08240.1	-	-	GO:0005509(calcium ion binding)
Ss05g07460.1	-	-	GO:0003677(DNA binding)
Ss02g28450.1	GO:0030163(protein catabolic process)	GO:0005737(cytoplasm)	GO:0005524(ATP binding),GO:0016787(hydrolase activity)
Ss05g07440.1	-	-	GO:0003723(RNA binding)
Ss02g28470.1	-	-	GO:0005515(protein binding)
Ss05g07500.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss08g10360.1	GO:0006486(protein glycosylation)	GO:0016020(membrane)	GO:0008378(galactosyltransferase activity)
Ss05g07480.1	-	-	GO:0005515(protein binding)
Ss02g28510.1	-	-	GO:0043531(ADP binding)
Ss09g04790.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss09g04780.1	GO:0055085(transmembrane transport),GO:0098656(anion transmembrane transport)	GO:0005741(mitochondrial outer membrane)	GO:0008308(voltage-gated anion channel activity)
Ss05g07520.1	GO:0006468(protein phosphorylation)	-	GO:0005509(calcium ion binding),GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss09g04840.1	-	-	GO:0008237(metallopeptidase activity),GO:0008270(zinc ion binding)
