Gene	KeggOrtholog
Ss10g04890.1	K00001 E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
Ss09g07700.1	K03252 EIF3C; translation initiation factor 3 subunit C
Ss03g30210.1	K20604 MKK9; mitogen-activated protein kinase kinase 9 [EC:2.7.12.2]
Ss03g30180.1	K20604 MKK9; mitogen-activated protein kinase kinase 9 [EC:2.7.12.2]
Ss03g30250.1	K01754 E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]
Ss05g21460.1	K08245 E3.4.23.40; phytepsin [EC:3.4.23.40]
Ss05g21510.1	K07198 PRKAA, AMPK; 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.11]
Ss05g21500.1	K00161 PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
Ss07g02240.1	K17499 PPM1G, PP2CG; protein phosphatase 1G [EC:3.1.3.16]
Ss07g23720.1	K07874 RAB1A; Ras-related protein Rab-1A
Ss07g23700.1	K12180 COPS7, CSN7; COP9 signalosome complex subunit 7
Ss07g23690.1	K12194 CHMP4, SNF7, VPS32; charged multivesicular body protein 4
Ss03g25660.1	K15227 TYRAAT; arogenate dehydrogenase (NADP+), plant [EC:1.3.1.78]
Ss03g25720.1	K06268 PPP3R, CNB; serine/threonine-protein phosphatase 2B regulatory subunit
Ss03g25710.1	K03327 TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family
Ss03g23430.1	K00901 dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]
Ss03g23410.1	K02966 RP-S19e, RPS19; small subunit ribosomal protein S19e
Ss03g23360.1	K20783 RRA; arabinosyltransferase [EC:2.4.2.-]
Ss05g16980.1	K02969 RP-S20e, RPS20; small subunit ribosomal protein S20e
Ss05g16990.1	K20472 COPZ, RET3; coatomer subunit zeta
Ss05g17010.1	K11446 KDM5, JARID1; histone demethylase JARID1 [EC:1.14.11.-]
Ss04g15950.1	K03260 EIF4G; translation initiation factor 4G
Ss04g15940.1	K10875 RAD54L, RAD54; DNA repair and recombination protein RAD54 and RAD54-like protein [EC:3.6.4.-]
Ss04g15960.1	K03115 CSNK2B; casein kinase II subunit beta
Ss08g06920.1	K22756 NSMCE2, NSE2; E3 SUMO-protein ligase NSE2 [EC:2.3.2.-]
Ss08g06930.1	K09419 HSFF; heat shock transcription factor, other eukaryote
Ss08g06890.1	K09291 TPR, MLP1, MLP2; nucleoprotein TPR
Ss10g02950.1	K04121 E4.2.3.19; ent-kaurene synthase [EC:4.2.3.19]
Ss03g16380.1	K00036 G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
Ss03g16390.1	K11593 ELF2C, AGO; eukaryotic translation initiation factor 2C
Ss03g16400.1	K14431 TGA; transcription factor TGA
Ss03g16350.1	K20102 YTHDF; YTH domain-containing family protein
Ss03g16420.1	K07199 PRKAB; 5'-AMP-activated protein kinase, regulatory beta subunit
Ss03g39470.1	K16329 psuG; pseudouridylate synthase [EC:4.2.1.70]
Ss03g39430.1	K22522 LOG; cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]
Ss03g39460.1	K02938 RP-L8e, RPL8; large subunit ribosomal protein L8e
Ss09g15300.1	K07466 RFA1, RPA1, rpa; replication factor A1
Ss01g28430.1	K14015 NPLOC4, NPL4; nuclear protein localization protein 4 homolog
Ss01g28420.1	K00430 E1.11.1.7; peroxidase [EC:1.11.1.7]
Ss09g15230.1	K14816 REI1; pre-60S factor REI1
Ss09g15280.1	K04043 dnaK, HSPA9; molecular chaperone DnaK
Ss09g16640.1	K11293 HIRA, HIR1; protein HIRA/HIR1
Ss01g44250.1	K00621 GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]
Ss01g44230.1	K01148 PARN, PNLDC1; poly(A)-specific ribonuclease [EC:3.1.13.4]
Ss01g44200.1	K02989 RP-S5e, RPS5; small subunit ribosomal protein S5e
Ss01g44180.1	K01634 SGPL1, DPL1; sphinganine-1-phosphate aldolase [EC:4.1.2.27]
Ss01g13000.1	K10746 EXO1; exonuclease 1 [EC:3.1.-.-]
Ss01g13020.1	K20288 COG1; conserved oligomeric Golgi complex subunit 1
Ss01g13030.1	K22390 ACP7; acid phosphatase type 7
Ss01g36940.1	K21026 AAE; acetylajmaline esterase [EC:3.1.1.80]
Ss01g36930.1	K14313 NUP35, NUP53; nuclear pore complex protein Nup53
Ss03g31600.1	K00975 glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
Ss01g36900.1	K19033 PSRP4, RPS31; 30S ribosomal protein S31
Ss03g31620.1	K15115 SLC25A32, MFT; solute carrier family 25 (mitochondrial folate transporter), member 32
Ss05g08350.1	K14709 SLC39A1_2_3, ZIP1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3
Ss05g08340.1	K14496 PYL; abscisic acid receptor PYR/PYL family
Ss05g08330.1	K15178 RTF1; RNA polymerase-associated protein RTF1
Ss01g14760.1	K02882 RP-L18Ae, RPL18A; large subunit ribosomal protein L18Ae
Ss01g14740.1	K00748 lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
Ss01g14670.1	K14486 K14486, ARF; auxin response factor
Ss01g03790.1	K00949 thiN, TPK1, THI80; thiamine pyrophosphokinase [EC:2.7.6.2]
Ss01g26210.1	K02967 RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2
Ss01g26140.1	K02994 RP-S8, rpsH; small subunit ribosomal protein S8
Ss01g26130.1	K07300 chaA, CAX; Ca2+:H+ antiporter
Ss01g26180.1	K02637 petD; cytochrome b6-f complex subunit 4
Ss01g26170.1	K03040 rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
Ss01g26160.1	K02948 RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11
Ss01g07720.1	K14432 ABF; ABA responsive element binding factor
Ss01g07700.1	K10999 CESA; cellulose synthase A [EC:2.4.1.12]
Ss11g10570.1	K13963 SERPINB; serpin B
Ss11g10560.1	K15032 MTERFD; mTERF domain-containing protein, mitochondrial
Ss02g03120.1	K08869 ADCK, ABC1; aarF domain-containing kinase
Ss11g10610.1	K14484 IAA; auxin-responsive protein IAA
Ss11g10600.1	K14484 IAA; auxin-responsive protein IAA
Ss02g03140.1	K04802 PCNA; proliferating cell nuclear antigen
Ss01g07660.1	K11271 DSCC1, DCC1; sister chromatid cohesion protein DCC1
Ss07g15210.1	K16572 TUBGCP5, GCP5; gamma-tubulin complex component 5
Ss07g15200.1	K03593 mrp, NUBPL; ATP-binding protein involved in chromosome partitioning
Ss07g15270.1	K15208 SNAPC1; snRNA-activating protein complex subunit 1
Ss07g15240.1	K06268 PPP3R, CNB; serine/threonine-protein phosphatase 2B regulatory subunit
Ss04g26470.1	K08051 PLEKHA8, FAPP2; pleckstrin homology domain containing family A member 8
Ss04g26430.1	K03103 MINPP1; multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]
Ss04g04540.1	K02689 psaA; photosystem I P700 chlorophyll a apoprotein A1
Ss04g04550.1	K11593 ELF2C, AGO; eukaryotic translation initiation factor 2C
Ss01g31480.1	K15501 PPP6R3, SAPS3; serine/threonine-protein phosphatase 6 regulatory subunit 3
Ss03g13220.1	K06269 PPP1C; serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16]
Ss03g13260.1	K00966 GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
Ss03g13250.1	K09480 DGD; digalactosyldiacylglycerol synthase [EC:2.4.1.241]
Ss03g13240.1	K08269 ULK2, ATG1; serine/threonine-protein kinase ULK2 [EC:2.7.11.1]
Ss11g05730.1	K08818 CDC2L; cell division cycle 2-like [EC:2.7.11.22]
Ss11g05750.1	K00036 G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
Ss05g23400.1	K17943 PUM; pumilio RNA-binding family
Ss09g03460.1	K07300 chaA, CAX; Ca2+:H+ antiporter
Ss09g03450.1	K02948 RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11
Ss09g03500.1	K07300 chaA, CAX; Ca2+:H+ antiporter
Ss10g10190.1	K10523 SPOP; speckle-type POZ protein
Ss10g10130.1	K10960 chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]
Ss10g10120.1	K22139 MPC2; mitochondrial pyruvate carrier 2
Ss10g10110.1	K02943 RP-LP2, RPLP2; large subunit ribosomal protein LP2
Ss10g10160.1	K09286 EREBP; EREBP-like factor
Ss10g10140.1	K22756 NSMCE2, NSE2; E3 SUMO-protein ligase NSE2 [EC:2.3.2.-]
Ss06g05440.1	K11855 USP36_42; ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12]
Ss07g20600.1	K10798 PARP; poly [ADP-ribose] polymerase [EC:2.4.2.30]
Ss05g11660.1	K06124 PHOSPHO1; phosphoethanolamine/phosphocholine phosphatase [EC:3.1.3.75]
Ss05g11630.1	K14319 RANGAP1; Ran GTPase-activating protein 1
Ss05g11700.1	K01662 dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]
Ss03g17850.1	K11000 CALS; callose synthase [EC:2.4.1.-]
Ss04g14040.1	K11592 DICER1, DCR1; endoribonuclease Dicer [EC:3.1.26.-]
Ss04g13990.1	K03142 TFIIH2, GTF2H2, SSL1; transcription initiation factor TFIIH subunit 2
Ss04g14050.1	K06995 K06995; uncharacterized protein
Ss11g14220.1	K13525 VCP, CDC48; transitional endoplasmic reticulum ATPase
Ss11g14230.1	K13525 VCP, CDC48; transitional endoplasmic reticulum ATPase
Ss08g01470.1	K01057 PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]
Ss05g03990.1	K05929 E2.1.1.103, NMT; phosphoethanolamine N-methyltransferase [EC:2.1.1.103]
Ss08g01430.1	K11498 CENPE; centromeric protein E
Ss08g01440.1	K14515 EBF1_2; EIN3-binding F-box protein
Ss08g01390.1	K22013 SGR, SGRL; magnesium dechelatase [EC:4.99.1.10]
Ss05g03950.1	K01056 PTH1, pth, spoVC; peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]
Ss05g03930.1	K09287 RAV; RAV-like factor
Ss05g03940.1	K01733 thrC; threonine synthase [EC:4.2.3.1]
Ss01g32660.1	K16675 ZDHHC9_14_18; palmitoyltransferase ZDHHC9/14/18 [EC:2.3.1.225]
Ss07g07790.1	K08819 CDK12_13; cyclin-dependent kinase 12/13 [EC:2.7.11.22 2.7.11.23]
Ss07g07780.1	K18162 NDUFAF5; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 [EC:2.1.1.-]
Ss07g07770.1	K18801 GXM; glucuronoxylan 4-O-methyltransferase [EC:2.1.1.112]
Ss07g07820.1	K17506 PPM1L, PP2CE; protein phosphatase 1L [EC:3.1.3.16]
Ss07g07860.1	K01945 purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]
Ss05g00290.1	K14514 EIN3; ethylene-insensitive protein 3
Ss05g00260.1	K14408 CSTF3, RNA14; cleavage stimulation factor subunit 3
Ss05g00230.1	K06670 SCC1, MCD1, RAD21; cohesin complex subunit SCC1
Ss05g00210.1	K03969 pspA; phage shock protein A
Ss05g00200.1	K00847 E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]
Ss01g09590.1	K05765 CFL; cofilin
Ss02g00650.1	K13412 CPK; calcium-dependent protein kinase [EC:2.7.11.1]
Ss02g00610.1	K01535 PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
Ss02g00680.1	K00872 thrB1; homoserine kinase [EC:2.7.1.39]
Ss02g00670.1	K07088 K07088; uncharacterized protein
Ss06g12200.1	K16287 ULP1C_D; ubiquitin-like-specific protease 1C/D [EC:3.4.22.68]
Ss06g12160.1	K09486 HYOU1; hypoxia up-regulated 1
Ss03g29980.1	K09490 HSPA5, BIP; heat shock 70kDa protein 5
Ss03g30020.1	K06630 YWHAE; 14-3-3 protein epsilon
Ss03g30050.1	K00888 PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]
Ss03g30070.1	K03000 RPA12, ZNRD1; DNA-directed RNA polymerase I subunit RPA12
Ss06g24090.1	K03965 NDUFB9; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9
Ss06g24120.1	K00930 argB; acetylglutamate kinase [EC:2.7.2.8]
Ss06g24110.1	K14488 SAUR; SAUR family protein
Ss06g24140.1	K22530 ATAD1; ATPase family AAA domain-containing protein 1 [EC:3.6.1.-]
Ss06g24150.1	K07904 RAB11A; Ras-related protein Rab-11A
Ss10g05560.1	K01183 E3.2.1.14; chitinase [EC:3.2.1.14]
Ss10g05550.1	K17338 REEP1_2_3_4; receptor expression-enhancing protein 1/2/3/4
Ss10g05580.1	K01265 map; methionyl aminopeptidase [EC:3.4.11.18]
Ss08g07810.1	K17261 CAP1_2, SRV2; adenylyl cyclase-associated protein
Ss10g05570.1	K01265 map; methionyl aminopeptidase [EC:3.4.11.18]
Ss05g21170.1	K10735 GINS4, SLD5; GINS complex subunit 4
Ss08g07830.1	K01251 E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]
Ss08g07790.1	K01904 4CL; 4-coumarate--CoA ligase [EC:6.2.1.12]
Ss07g05710.1	K03145 TFIIS; transcription elongation factor S-II
Ss07g05720.1	K00006 GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
Ss07g05670.1	K14945 QKI; protein quaking
Ss03g20240.1	K10365 CAPZB; capping protein (actin filament) muscle Z-line, beta
Ss03g20220.1	K01785 galM, GALM; aldose 1-epimerase [EC:5.1.3.3]
Ss03g20230.1	K01855 PUS3, DEG1; tRNA pseudouridine38/39 synthase [EC:5.4.99.45]
Ss03g20200.1	K02997 RP-S9e, RPS9; small subunit ribosomal protein S9e
Ss03g20210.1	K09422 MYBP; transcription factor MYB, plant
Ss05g07090.1	K09754 CYP98A, C3'H; 5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase [EC:1.14.14.96]
Ss05g07080.1	K21752 DRAP1, NC2-alpha; Dr1-associated corepressor
Ss02g05070.1	K05396 dcyD; D-cysteine desulfhydrase [EC:4.4.1.15]
Ss02g15210.1	K01653 E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]
Ss11g13920.1	K14508 NPR1; regulatory protein NPR1
Ss11g13950.1	K13448 CML; calcium-binding protein CML
Ss05g01830.1	K01937 pyrG, CTPS; CTP synthase [EC:6.3.4.2]
Ss03g15570.1	K10728 TOPBP1; topoisomerase (DNA) II binding protein 1
Ss03g15630.1	K01755 argH, ASL; argininosuccinate lyase [EC:4.3.2.1]
Ss02g23930.1	K01759 GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]
Ss01g09390.1	K02920 RP-L36e, RPL36; large subunit ribosomal protein L36e
Ss01g27260.1	K12396 AP3D; AP-3 complex subunit delta
Ss01g04730.1	K22651 RNF4; E3 ubiquitin-protein ligase RNF4 [EC:2.3.2.27]
Ss01g04750.1	K11498 CENPE; centromeric protein E
Ss01g04700.1	K13947 PIN; auxin efflux carrier family
Ss02g20040.1	K00026 MDH2; malate dehydrogenase [EC:1.1.1.37]
Ss02g20060.1	K09419 HSFF; heat shock transcription factor, other eukaryote
Ss02g20070.1	K14510 CTR1; serine/threonine-protein kinase CTR1 [EC:2.7.11.1]
Ss02g20010.1	K15505 RAD5; DNA repair protein RAD5 [EC:3.6.4.-]
Ss03g11900.1	K03353 APC6, CDC16; anaphase-promoting complex subunit 6
Ss01g02150.1	K14794 RRP12; ribosomal RNA-processing protein 12
Ss01g02180.1	K07408 CYP1A1; cytochrome P450 family 1 subfamily A polypeptide 1 [EC:1.14.14.1]
Ss06g21790.1	K07152 SCO1_2; protein SCO1/2
Ss06g21820.1	K08818 CDC2L; cell division cycle 2-like [EC:2.7.11.22]
Ss06g21830.1	K01410 MIPEP; mitochondrial intermediate peptidase [EC:3.4.24.59]
Ss07g34300.1	K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
Ss07g34320.1	K14641 APY1_2; apyrase [EC:3.6.1.5]
Ss08g11500.1	K03456 PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A
Ss08g11430.1	K12592 C1D, LRP1; exosome complex protein LRP1
Ss03g28440.1	K05610 UCHL5, UCH37; ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12]
Ss03g28470.1	K10588 UBE3B; ubiquitin-protein ligase E3 B [EC:2.3.2.26]
Ss03g28400.1	K11593 ELF2C, AGO; eukaryotic translation initiation factor 2C
Ss03g28430.1	K05610 UCHL5, UCH37; ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12]
Ss03g28420.1	K05610 UCHL5, UCH37; ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12]
Ss07g23750.1	K00940 ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]
Ss01g14900.1	K15280 SLC35C2; solute carrier family 35, member C2
Ss01g14890.1	K07904 RAB11A; Ras-related protein Rab-11A
Ss01g14870.1	K10999 CESA; cellulose synthase A [EC:2.4.1.12]
Ss01g14940.1	K02871 RP-L13, MRPL13, rplM; large subunit ribosomal protein L13
Ss01g14930.1	K09419 HSFF; heat shock transcription factor, other eukaryote
Ss01g14920.1	K16055 TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
Ss11g16190.1	K17260 ACTR2, ARP2; actin-related protein 2
Ss07g18880.1	K13173 ARGLU1; arginine and glutamate-rich protein 1
Ss07g18870.1	K21752 DRAP1, NC2-alpha; Dr1-associated corepressor
Ss08g12500.1	K11293 HIRA, HIR1; protein HIRA/HIR1
Ss01g23050.1	K20069 NECAP1_2; adaptin ear-binding coat-associated protein 1/2
Ss01g23060.1	K12741 HNRNPA1_3; heterogeneous nuclear ribonucleoprotein A1/A3
Ss01g23030.1	K08337 ATG7; ubiquitin-like modifier-activating enzyme ATG7
Ss01g23040.1	K08337 ATG7; ubiquitin-like modifier-activating enzyme ATG7
Ss04g06370.1	K21596 CAMTA; calmodulin-binding transcription activator
Ss04g06400.1	K01652 E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
Ss04g20080.1	K13172 SRRM2, SRM300; serine/arginine repetitive matrix protein 2
Ss04g20010.1	K14488 SAUR; SAUR family protein
Ss04g20030.1	K14318 NUP88; nuclear pore complex protein Nup88
Ss04g20040.1	K03032 PSMD1, RPN2; 26S proteasome regulatory subunit N2
Ss04g24350.1	K17839 PAO4, PAO3, PAO2; polyamine oxidase [EC:1.5.3.17 1.5.3.-]
Ss04g24360.1	K18881 DJ1D; D-lactate dehydratase [EC:4.2.1.130]
Ss01g29240.1	K03106 SRP54, ffh; signal recognition particle subunit SRP54 [EC:3.6.5.4]
Ss10g16930.1	K00640 cysE; serine O-acetyltransferase [EC:2.3.1.30]
Ss01g29270.1	K02987 RP-S4e, RPS4; small subunit ribosomal protein S4e
Ss01g29250.1	K18757 LARP1; la-related protein 1
Ss01g29300.1	K02540 MCM2; DNA replication licensing factor MCM2 [EC:3.6.4.12]
Ss11g04040.1	K11000 CALS; callose synthase [EC:2.4.1.-]
Ss07g10310.1	K01209 abfA; alpha-N-arabinofuranosidase [EC:3.2.1.55]
Ss05g15050.1	K20363 YIPF5_7, YIP1; protein YIPF5/7
Ss05g15010.1	K13424 WRKY33; WRKY transcription factor 33
Ss05g15020.1	K19983 EXOC1, SEC3; exocyst complex component 1
Ss10g00390.1	K01601 rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
Ss10g00400.1	K03046 rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
Ss10g00370.1	K17499 PPM1G, PP2CG; protein phosphatase 1G [EC:3.1.3.16]
Ss10g00380.1	K16296 SCPL-I; serine carboxypeptidase-like clade I [EC:3.4.16.-]
Ss03g09790.1	K05546 GANAB; mannosyl-oligosaccharide alpha-1,3-glucosidase [EC:3.2.1.207]
Ss03g09820.1	K21371 UGT75L6, UGTCs2; crocetin glucosyltransferase [EC:2.4.1.271]
Ss07g25400.1	K07976 RAB; Rab family, other
Ss07g25320.1	K05387 GRIP; glutamate receptor, ionotropic, plant
Ss10g10540.1	K03094 SKP1, CBF3D; S-phase kinase-associated protein 1
Ss10g10550.1	K03094 SKP1, CBF3D; S-phase kinase-associated protein 1
Ss07g20280.1	K17255 GDI1_2; Rab GDP dissociation inhibitor
Ss07g20260.1	K07904 RAB11A; Ras-related protein Rab-11A
Ss07g20240.1	K08738 CYC; cytochrome c
Ss03g03730.1	K11000 CALS; callose synthase [EC:2.4.1.-]
Ss07g29280.1	K10256 FAD2; omega-6 fatty acid desaturase / acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.6 1.14.19.22]
Ss07g29260.1	K13280 SEC11, sipW; signal peptidase I [EC:3.4.21.89]
Ss07g29250.1	K20298 VPS52; vacuolar protein sorting-associated protein 52
Ss07g29290.1	K01057 PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]
Ss06g17980.1	K02737 PSMB5; 20S proteasome subunit beta 5 [EC:3.4.25.1]
Ss06g17910.1	K02890 RP-L22, MRPL22, rplV; large subunit ribosomal protein L22
Ss06g17890.1	K09955 K09955; uncharacterized protein
Ss06g17960.1	K07408 CYP1A1; cytochrome P450 family 1 subfamily A polypeptide 1 [EC:1.14.14.1]
Ss06g17950.1	K07408 CYP1A1; cytochrome P450 family 1 subfamily A polypeptide 1 [EC:1.14.14.1]
Ss06g17930.1	K13096 SF4; splicing factor 4
Ss01g38980.1	K05573 ndhB; NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]
Ss01g38990.1	K02992 RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7
Ss01g38970.1	K05573 ndhB; NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]
Ss01g38940.1	K02892 RP-L23, MRPL23, rplW; large subunit ribosomal protein L23
Ss01g38920.1	K02965 RP-S19, rpsS; small subunit ribosomal protein S19
Ss10g09200.1	K14802 DRS2, ATP8A; phospholipid-transporting ATPase [EC:7.6.2.1]
Ss10g09220.1	K02979 RP-S28e, RPS28; small subunit ribosomal protein S28e
Ss07g21440.1	K13146 INTS9; integrator complex subunit 9
Ss08g18140.1	K00939 adk, AK; adenylate kinase [EC:2.7.4.3]
Ss08g18150.1	K14488 SAUR; SAUR family protein
Ss08g18160.1	K14488 SAUR; SAUR family protein
Ss08g18130.1	K02112 ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
Ss07g06140.1	K04506 SIAH1; E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27]
Ss02g16520.1	K07877 RAB2A; Ras-related protein Rab-2A
Ss02g16510.1	K11087 SNRPD1, SMD1; small nuclear ribonucleoprotein D1
Ss03g35790.1	K00801 FDFT1; farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]
Ss03g35810.1	K05574 ndhC; NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2]
Ss01g24400.1	K21398 SLC11A2, DMT1, NRAMP2; natural resistance-associated macrophage protein 2
Ss03g34380.1	K00799 GST, gst; glutathione S-transferase [EC:2.5.1.18]
Ss03g34390.1	K13344 PEX13; peroxin-13
Ss03g34330.1	K15032 MTERFD; mTERF domain-containing protein, mitochondrial
Ss03g34300.1	K02641 petH; ferredoxin--NADP+ reductase [EC:1.18.1.2]
Ss03g34310.1	K12606 RCD1, CNOT9, CAF40; CCR4-NOT transcription complex subunit 9
Ss03g24220.1	K22047 MSL1_2_3; mechanosensitive ion channel protein 1/2/3
Ss03g24160.1	K20855 B3GALT1S; beta-1,3-galactosyltransferase 1/2/3/4/5/7/8 [EC:2.4.1.-]
Ss03g24190.1	K09422 MYBP; transcription factor MYB, plant
Ss02g13080.1	K16281 RHA1; RING-H2 zinc finger protein RHA1
Ss02g13090.1	K05349 bglX; beta-glucosidase [EC:3.2.1.21]
Ss02g13070.1	K09264 K09264; MADS-box transcription factor, plant
Ss02g25740.1	K00276 AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]
Ss02g25710.1	K14819 DUSP12, YVH1; dual specificity phosphatase 12 [EC:3.1.3.16 3.1.3.48]
Ss03g11560.1	K03029 PSMD4, RPN10; 26S proteasome regulatory subunit N10
Ss03g11570.1	K05765 CFL; cofilin
Ss03g11540.1	K20290 COG3, SEC34; conserved oligomeric Golgi complex subunit 3
Ss03g11600.1	K07933 RABL3; Rab-like protein 3
Ss03g11610.1	K06662 HRAD17, RAD24; cell cycle checkpoint protein
Ss03g17620.1	K01679 E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]
Ss03g17630.1	K02885 RP-L19e, RPL19; large subunit ribosomal protein L19e
Ss03g17680.1	K13211 GCFC; GC-rich sequence DNA-binding factor
Ss03g17690.1	K02932 RP-L5e, RPL5; large subunit ribosomal protein L5e
Ss09g10010.1	K15334 NCL1, TRM4; multisite-specific tRNA:(cytosine-C5)-methyltransferase [EC:2.1.1.202]
Ss09g10060.1	K12891 SFRS2; splicing factor, arginine/serine-rich 2
Ss09g10070.1	K09422 MYBP; transcription factor MYB, plant
Ss02g30880.1	K20043 SNAP91, AP180, CALM; clathrin coat assembly protein AP180
Ss02g30850.1	K00134 GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
Ss02g30900.1	K00927 PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
Ss01g10660.1	K15437 AIMP1, ARC1; aminoacyl tRNA synthase complex-interacting multifunctional protein 1
Ss04g17460.1	K17794 TIM23; mitochondrial import inner membrane translocase subunit TIM23
Ss04g17470.1	K16573 TUBGCP6, GCP6; gamma-tubulin complex component 6
Ss04g17480.1	K08867 WNK, PRKWNK; WNK lysine deficient protein kinase [EC:2.7.11.1]
Ss04g17420.1	K14439 SMARCAD1; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 [EC:3.6.4.12]
Ss04g17440.1	K11593 ELF2C, AGO; eukaryotic translation initiation factor 2C
Ss05g17700.1	K11273 DDX11, CHL1, CTF1; chromosome transmission fidelity protein 1 [EC:3.6.4.13]
Ss05g17730.1	K11816 YUCCA; indole-3-pyruvate monooxygenase [EC:1.14.13.168]
Ss05g17690.1	K00161 PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
Ss03g38320.1	K02990 RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6
Ss03g38360.1	K21552 HOL; methyl halide transferase [EC:2.1.1.165]
Ss03g38350.1	K21552 HOL; methyl halide transferase [EC:2.1.1.165]
Ss11g08500.1	K02690 psaB; photosystem I P700 chlorophyll a apoprotein A2
Ss11g08510.1	K01601 rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
Ss11g08530.1	K02986 RP-S4, rpsD; small subunit ribosomal protein S4
Ss11g08540.1	K02986 RP-S4, rpsD; small subunit ribosomal protein S4
Ss11g08550.1	K02709 psbH; photosystem II PsbH protein
Ss11g08570.1	K17619 MDP1; magnesium-dependent phosphatase 1 [EC:3.1.3.48 3.1.3.-]
Ss01g25200.1	K20547 CHIB; basic endochitinase B [EC:3.2.1.14]
Ss01g25180.1	K10870 RAD51L2, RAD51C; RAD51-like protein 2
Ss01g25190.1	K08736 MSH3; DNA mismatch repair protein MSH3
